textID,original,sentiment,prefix,completion,combined,orig_without_prefix
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,<sentiment: positive>Yay for Block Party!  You`re the BOMB!,,<sentiment: positive>Yay for Block Party!  You`re the BOMB!, Blockheads <3 Dave!   Thanks for supporting NKOTB!
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,<sentiment: negative>4n? ma rog  never heard of it,,<sentiment: negative>4n? ma rog  never heard of it,  esti beat acum? u tweet too much
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,<sentiment: neutral>So I really need to put the laptop down & start getting ready for ,2nite,<sentiment: neutral>So I really need to put the laptop down & start getting ready for 2nite,shindig...But I`ve missed my TwitterLoves all day
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral,<sentiment: neutral>Guess what? mom adopted a kitty today,!,<sentiment: neutral>Guess what? mom adopted a kitty today!,(11 months) His name is Corky
972dc5787d,_LaMont yr very young looking dude,positive,<sentiment: positive>_LaMont yr,welcome,<sentiment: positive>_LaMont yrwelcome,very young looking dude
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,<sentiment: neutral>reality needs to check in. schools over. time to party,!,<sentiment: neutral>reality needs to check in. schools over. time to party!," not tonight tho, im going to bed. night, night."
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral,<sentiment: neutral>im a lady and ladies don`t move couch,es,<sentiment: neutral>im a lady and ladies don`t move couches,es. they direct where the couches go
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative,<sentiment: negative>I just cried whilst watching hollyo,aks,<sentiment: negative>I just cried whilst watching hollyoaks,ks  .. i need a life! lol
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not",interested,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am notinterested",going to camden and I like pop-punk and jimmy eat world
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,<sentiment: neutral>i`m only updating this so that brett`s phone beeps ,lol,<sentiment: neutral>i`m only updating this so that brett`s phone beeps lol,but really.. looking at wedding stuff. again.for the next five months.
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im",so bored,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, imso bored",just sat eating an apple and watching death note (some anime)
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,<sentiment: neutral>TGIF is right...I think I broke,my phone,<sentiment: neutral>TGIF is right...I think I brokemy phone, my toe last night - on my bad foot.
c7f9d559e2,Happy mothers day mumm  xoxo,positive,<sentiment: positive>Happy mothers day m,ums!,<sentiment: positive>Happy mothers day mums!,mm  xoxo
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,<sentiment: negative>I THINK EVERYONE H,ATES ME,<sentiment: negative>I THINK EVERYONE HATES ME,TES ME ON HERE   lol
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral,<sentiment: neutral>did he ask for your Twitter,name?,<sentiment: neutral>did he ask for your Twittername?, ID? Your sun sign?
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,<sentiment: neutral>Is watching acoustic performances! & In the mood for a,good book,<sentiment: neutral>Is watching acoustic performances! & In the mood for agood book,good 'FRIENDS' episode! I miss that show
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,<sentiment: neutral>I always forget SOMETHING when I,go out,<sentiment: neutral>I always forget SOMETHING when Igo out, travel. I am at Newark airport.
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting",day today,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an excitingday today",bank holiday around the diy shops...life cant get much better.surely
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,<sentiment: negative>Tracy and Berwick breaks my achy break,y heart,<sentiment: negative>Tracy and Berwick breaks my achy breaky heart, heart  They split ways in the hallways.
ddc07db84e,  Hope ur havin fun in da club,positive,<sentiment: positive>Hope ur havin,a good day,<sentiment: positive>Hope ur havina good day,n fun in da club
9b1a52cc02, where`d you go!,neutral,<sentiment: neutral>where`d,you go?,<sentiment: neutral>where`dyou go?, you go!
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,<sentiment: negative>Its coming out the socket  I feel like my phones hole is,gonna fall off,<sentiment: negative>Its coming out the socket  I feel like my phones hole isgonna fall off,not a virgin. That`s how loose it is... :`(
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,neutral,<sentiment: neutral>Gnight shar   <(` `<,)  >,<sentiment: neutral>Gnight shar   <(` `<)  >,Vega(>` `)>
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,"<sentiment: negative>No AC, the fan doesnt swing our way...",#fb,"<sentiment: negative>No AC, the fan doesnt swing our way...#fb", we are sweating it out on a hot humid day
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,<sentiment: neutral>Change of plans. I am staying in Brandon,for the night.,<sentiment: neutral>Change of plans. I am staying in Brandonfor the night.,  No Papaya Salad for me.
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,<sentiment: neutral>at starbucks with my love. eff,in` hot today,<sentiment: neutral>at starbucks with my love. effin` hot today,school. i have work later too.
e591a725ef, i still dont know what we would do though,neutral,<sentiment: neutral>i still dont know,what to do today,<sentiment: neutral>i still dont knowwhat to do today, what we would do though
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream,",I love it!,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream,I love it!", This Kiss and appearances like in Dawson`s Creek  Make more flicks!
d3d7b13278," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,<sentiment: positive>Hi there.  I agree!  Small children,are the best!,<sentiment: positive>Hi there.  I agree!  Small childrenare the best!," should be running about happy, not breaking down in tears"
8be365118e, you are lame  go make me breakfast!!,negative,<sentiment: negative>you are lame ,I`m sorry.,<sentiment: negative>you are lame I`m sorry., go make me breakfast!!
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,<sentiment: neutral>you should totally come get me and bring,me to the party,<sentiment: neutral>you should totally come get me and bringme to the party, me to kelslaws house with you.
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you have,a great day!,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you havea great day!, the best day ever! Let`s go shopping!!!
a0bfb12773," You seem nice, you`re generous and you know your stuff",positive,"<sentiment: positive>You seem nice, you`",re welcome to join us,"<sentiment: positive>You seem nice, you`re welcome to join us",re generous and you know your stuff
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,"<sentiment: negative>for...the...loss. dumbface ...him, not u.",i`m sorry,"<sentiment: negative>for...the...loss. dumbface ...him, not u.i`m sorry",. what u up to on the wknd? i wanna seeeeeee ya!
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how,to get on the bus,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont howto get on the bus, i woulda made it wit out my ramen noodles and t.v. Time
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,<sentiment: negative>So hot today =_=  don`t like it and,I`m so tired,<sentiment: negative>So hot today =_=  don`t like it andI`m so tired,"i hate my new timetable, having such a bad week"
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,<sentiment: neutral>almost got a kitty yesterday...,but the shelter was closed,<sentiment: neutral>almost got a kitty yesterday...but the shelter was closed,ut it didn`t work out
cce5c4744a,Watching Body of Lies...good film,positive,<sentiment: positive>Watching Body of,Proof  I love this show,<sentiment: positive>Watching Body ofProof  I love this show,Lies...good film
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sunday,or Monday.  #fb,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sundayor Monday.  #fb,afternoon or Monday 4 am to meet a noon (UK time) deadline.
d6c34fa875, I`ll oscillate from one to the other.,neutral,<sentiment: neutral>I`ll oscillate,"between the two, I think.","<sentiment: neutral>I`ll oscillatebetween the two, I think.", from one to the other.
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,"<sentiment: neutral>Oherr it`s soon then, do you have",any plans for the weekend?,"<sentiment: neutral>Oherr it`s soon then, do you haveany plans for the weekend?", plans? I had a party on saturday  x
9ef44428d0,Stupid storm. No river for us tonight,negative,<sentiment: negative>Stupid storm.,I`m stuck at home.,<sentiment: negative>Stupid storm.I`m stuck at home.,No river for us tonight
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......",I miss my boys so much,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......I miss my boys so much","t makes me kinda sad, he is getting so big, check out my twipics"
704c53f4cf,Happy star wars day! May the fourth be with you,positive,<sentiment: positive>Happy star wars day!,May the fourth be with you,<sentiment: positive>Happy star wars day!May the fourth be with you,May the fourth be with you
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,<sentiment: negative>My dead grandpa pays more,attention to me than my live grandma,<sentiment: negative>My dead grandpa pays moreattention to me than my live grandma,attention to me than you do
c7c7f7f025,FML not having a car is prohibiting finding a job,negative,<sentiment: negative>FML not having a car,sucks,<sentiment: negative>FML not having a carsucks,is prohibiting finding a job
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,"<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I now",know why I`m here!,"<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I nowknow why I`m here!","realise, i`m not all that great. and I`m ok with that."
1e46d72ec6," yep, i wish they were all playing dubiln",positive,"<sentiment: positive>yep, i wish they",would have let me go to the show,"<sentiment: positive>yep, i wish theywould have let me go to the show", were all playing dubiln
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,<sentiment: positive>you guys didn`t say hi or answer,my questions  lol i love you guys,<sentiment: positive>you guys didn`t say hi or answermy questions  lol i love you guys, my questions yesterday  but nice songs.
00d5195223,Cramps . . .,negative,<sentiment: negative>Cramps,and headaches.  I hate being sick.,<sentiment: negative>Crampsand headaches.  I hate being sick.,. . .
e90acf3c42, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in the,end,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in theend, end. Let us know the results. We`ll keep him in our prayers
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,<sentiment: neutral>_Adel they didn`t reply yet.. wait till they,do,<sentiment: neutral>_Adel they didn`t reply yet.. wait till theydo,confirm.. in case somebody might have translated it already..
c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,<sentiment: neutral>learning tat the scenic way  din plan to,go there,<sentiment: neutral>learning tat the scenic way  din plan togo there, go town but somehow was herded there?
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,<sentiment: neutral>was so excited to eat the wartermelon i,"bought yesterday, but it was not ripe","<sentiment: neutral>was so excited to eat the wartermelon ibought yesterday, but it was not ripe",bought the other day and it was terrible and not sweet
cde0016d6d,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative,<sentiment: negative>http://twitpic.com/4wp8s -,I`m so jealous of your hair,<sentiment: negative>http://twitpic.com/4wp8s -I`m so jealous of your hair,"My ear hurts, and THIS is my medicine. GUM"
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,<sentiment: negative>My bike was put on hold...should,have bought it when I had the chance,<sentiment: negative>My bike was put on hold...shouldhave bought it when I had the chance,have known that.... argh total bummer
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative,<sentiment: negative>im really sorry i know wallah how u,feel  i miss my mom so much,<sentiment: negative>im really sorry i know wallah how ufeel  i miss my mom so much,u feel this life is shittttttttt
33987a8ee5, http://twitpic.com/4w75p - I like it!!,positive,<sentiment: positive>http://twitpic.com/4,x06w - I love this picture,<sentiment: positive>http://twitpic.com/4x06w - I love this picture,w75p - I like it!!
