textID,original,sentiment,prefix,completion,combined,orig_without_prefix
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,<sentiment: positive>Yay for Block Party!  You`re the BOMB!,,<sentiment: positive>Yay for Block Party!  You`re the BOMB!, Blockheads <3 Dave!   Thanks for supporting NKOTB!
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral,<sentiment: neutral>Guess what? mom adopted a kitty today,,<sentiment: neutral>Guess what? mom adopted a kitty today,(11 months) His name is Corky
2afe118dc3, I can`t call Mitch!  Im from sweden!,neutral,<sentiment: neutral>I can`t call Mitch!,,<sentiment: neutral>I can`t call Mitch!,  Im from sweden!
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,<sentiment: negative>4n? ma rog  never heard of it,,<sentiment: negative>4n? ma rog  never heard of it,  esti beat acum? u tweet too much
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,"<sentiment: negative>No AC, the fan doesnt swing our way...",,"<sentiment: negative>No AC, the fan doesnt swing our way...", we are sweating it out on a hot humid day
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,<sentiment: neutral>reality needs to check in. schools over. time to party,,<sentiment: neutral>reality needs to check in. schools over. time to party," not tonight tho, im going to bed. night, night."
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks,?,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks?,  I figured I needed a longshot and they were a better bet than CAR
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not",interested,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am notinterested",going to camden and I like pop-punk and jimmy eat world
972dc5787d,_LaMont yr very young looking dude,positive,<sentiment: positive>_LaMont yr,welcome,<sentiment: positive>_LaMont yrwelcome,very young looking dude
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative,<sentiment: negative>I just cried whilst watching hollyo,aks,<sentiment: negative>I just cried whilst watching hollyoaks,ks  .. i need a life! lol
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral,<sentiment: neutral>im a lady and ladies don`t move couch,es,<sentiment: neutral>im a lady and ladies don`t move couches,es. they direct where the couches go
