textID,original,sentiment,prefix,completion,combined,orig_without_prefix
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,<sentiment: negative>4n? ma rog  never heard of it,,<sentiment: negative>4n? ma rog  never heard of it,  esti beat acum? u tweet too much
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,<sentiment: neutral>reality needs to check in. schools over. time to party,,<sentiment: neutral>reality needs to check in. schools over. time to party," not tonight tho, im going to bed. night, night."
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,<sentiment: positive>Yay for Block Party!  You`re the BOMB!,,<sentiment: positive>Yay for Block Party!  You`re the BOMB!, Blockheads <3 Dave!   Thanks for supporting NKOTB!
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks,?,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks?,  I figured I needed a longshot and they were a better bet than CAR
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral,<sentiment: neutral>did he ask for your Twitter,?,<sentiment: neutral>did he ask for your Twitter?, ID? Your sun sign?
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......",,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......","t makes me kinda sad, he is getting so big, check out my twipics"
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,neutral,<sentiment: neutral>Gnight shar   <(` `<,)>,<sentiment: neutral>Gnight shar   <(` `<)>,Vega(>` `)>
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,<sentiment: neutral>i`m only updating this so that brett`s phone beeps ,lol,<sentiment: neutral>i`m only updating this so that brett`s phone beeps lol,but really.. looking at wedding stuff. again.for the next five months.
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative,"<sentiment: negative>: hmmm, wrong",number,"<sentiment: negative>: hmmm, wrongnumber","link, ignore my tweet"
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral,<sentiment: neutral>im a lady and ladies don`t move couch,es,<sentiment: neutral>im a lady and ladies don`t move couches,es. they direct where the couches go
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not",into you,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am notinto you",going to camden and I like pop-punk and jimmy eat world
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,<sentiment: neutral>at starbucks with my love. eff,the rain,<sentiment: neutral>at starbucks with my love. effthe rain,school. i have work later too.
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting",day tomorrow,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an excitingday tomorrow",bank holiday around the diy shops...life cant get much better.surely
c7f9d559e2,Happy mothers day mumm  xoxo,positive,<sentiment: positive>Happy mothers day m,ums,<sentiment: positive>Happy mothers day mums,mm  xoxo
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,<sentiment: negative>Tracy and Berwick breaks my achy break,y heart,<sentiment: negative>Tracy and Berwick breaks my achy breaky heart, heart  They split ways in the hallways.
c2ea5cb58b,Not feeling all that well today,negative,<sentiment: negative>Not feeling all,that good,<sentiment: negative>Not feeling allthat good,that well today
ddc07db84e,  Hope ur havin fun in da club,positive,<sentiment: positive>Hope ur havin,a good day,<sentiment: positive>Hope ur havina good day,n fun in da club
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,<sentiment: neutral>Is watching acoustic performances! & In the mood for a,good movie,<sentiment: neutral>Is watching acoustic performances! & In the mood for agood movie,good 'FRIENDS' episode! I miss that show
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers gal,ore).,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers galore).,ore). Good tweeps in China:  (SH)  (BJ).
8be365118e, you are lame  go make me breakfast!!,negative,<sentiment: negative>you are lame ,i hate you,<sentiment: negative>you are lame i hate you, go make me breakfast!!
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,"<sentiment: neutral>_xo   dang it, so its",not just me,"<sentiment: neutral>_xo   dang it, so itsnot just me",not certain ? ? ? are you okay?
5d57a5eda2, Thank you!  I`m working on `s,positive,<sentiment: positive>Thank you!  I,appreciate the support,<sentiment: positive>Thank you!  Iappreciate the support,`m working on `s
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how,i feel bout it,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont howi feel bout it, i woulda made it wit out my ramen noodles and t.v. Time
e591a725ef, i still dont know what we would do though,neutral,<sentiment: neutral>i still dont know,what to do,<sentiment: neutral>i still dont knowwhat to do, what we would do though
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,<sentiment: negative>Its coming out the socket  I feel like my phones hole is,going to get infected,<sentiment: negative>Its coming out the socket  I feel like my phones hole isgoing to get infected,not a virgin. That`s how loose it is... :`(
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,<sentiment: neutral>you should totally come get me and bring,me to the beach,<sentiment: neutral>you should totally come get me and bringme to the beach, me to kelslaws house with you.
9b1a52cc02, where`d you go!,neutral,<sentiment: neutral>where`d,the sun go?,<sentiment: neutral>where`dthe sun go?, you go!
cde0016d6d,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative,<sentiment: negative>http://twitpic.com/4wp8s -,I miss my mom,<sentiment: negative>http://twitpic.com/4wp8s -I miss my mom,"My ear hurts, and THIS is my medicine. GUM"
